CNT,Region,Sub-region,,,,,,,,,,,,,,,,,,,,
Australia,Australia & Oceania,APAC,,,,,,,,,,,,,,,,,,,,
Austria,Europe,EMER,,,,,,,,,,,,,,,,,,,,
Belgium,Europe,EMER,,,,,,,,,,,,,,,,,,,,
Brazil,America,AMERICA,,,,,,,,,,,,,,,,,,,,
B-S-J-G (China),Asia,APAC,,,,,,,,,,,,,,,,,,,,
Bulgaria,Europe,EMER,,,,,,,,,,,,,,,,,,,,
Canada,America,AMERICA,,,,,,,,,,,,,,,,,,,,
Chile,America,AMERICA,,,,,,,,,,,,,,,,,,,,
Chinese Taipei,Asia,APAC,,,,,,,,,,,,,,,,,,,,
Colombia,America,AMERICA,,,,,,,,,,,,,,,,,,,,
Costa Rica,America,AMERICA,,,,,,,,,,,,,,,,,,,,
Croatia,Europe,EMER,,,,,,,,,,,,,,,,,,,,
Czech Republic,Europe,EMER,,,,,,,,,,,,,,,,,,,,
Denmark,Europe,EMER,,,,,,,,,,,,,,,,,,,,
Dominican Republic,America,AMERICA,,,,,,,,,,,,,,,,,,,,
Estonia,Middle Eastern,EMER,,,,,,,,,,,,,,,,,,,,
Finland,Europe,EMER,,,,,,,,,,,,,,,,,,,,
France,Europe,EMER,,,,,,,,,,,,,,,,,,,,
Germany,Europe,EMER,,,,,,,,,,,,,,,,,,,,
Greece,Europe,EMER,,,,,,,,,,,,,,,,,,,,
Hong Kong ,Asia,APAC,,,,,,,,,,,,,,,,,,,,
Hungary,Europe,EMER,,,,,,,,,,,,,,,,,,,,
Iceland,Europe,EMER,,,,,,,,,,,,,,,,,,,,
Ireland,Europe,EMER,,,,,,,,,,,,,,,,,,,,
Israel,Middle Eastern,EMER,,,,,,,,,,,,,,,,,,,,
Italy,Europe,EMER,,,,,,,,,,,,,,,,,,,,
Japan,Asia,APAC,,,,,,,,,,,,,,,,,,,,
Korea,Asia,APAC,,,,,,,,,,,,,,,,,,,,
Latvia,Middle Eastern,EMER,,,,,,,,,,,,,,,,,,,,
Lithuania,Middle Eastern,EMER,,,,,,,,,,,,,,,,,,,,
Luxembourg,Europe,EMER,,,,,,,,,,,,,,,,,,,,
Macao,Asia,APAC,,,,,,,,,,,,,,,,,,,,
Mexico,America,AMERICA,,,,,,,,,,,,,,,,,,,,
Montenegro,Europe,EMER,,,,,,,,,,,,,,,,,,,,
Netherlands,Europe,EMER,,,,,,,,,,,,,,,,,,,,
New Zealand,Australia & Oceania,APAC,,,,,,,,,,,,,,,,,,,,
Norway,Europe,EMER,,,,,,,,,,,,,,,,,,,,
OECD average,OECD Average,OECD AVERAGE,,,,,,,,,,,,,,,,,,,,
Peru,America,AMERICA,,,,,,,,,,,,,,,,,,,,
Poland,Europe,EMER,,,,,,,,,,,,,,,,,,,,
Portugal,Europe,EMER,,,,,,,,,,,,,,,,,,,,
Qatar,Middle Eastern,EMER,,,,,,,,,,,,,,,,,,,,
Russia,Middle Eastern,EMER,,,,,,,,,,,,,,,,,,,,
Singapore,Asia,APAC,,,,,,,,,,,,,,,,,,,,
Slovak Republic,Europe,EMER,,,,,,,,,,,,,,,,,,,,
Slovenia,Europe,EMER,,,,,,,,,,,,,,,,,,,,
Spain,Europe,EMER,,,,,,,,,,,,,,,,,,,,
